import time: self [us] | cumulative | imported package
import time:       275 |        473 |                 torch.nn.utils.parametrizations
import time:       180 |        180 |                 torch.nn.utils.rnn
import time:        75 |         75 |                   torch.nn.utils._named_member_accessor
import time:       155 |        230 |                 torch.nn.utils.stateless
import time:        49 |         49 |                   torch.utils._foreach_utils
import time:       164 |        213 |                 torch.nn.utils.clip_grad
import time:        49 |         49 |                 torch.nn.utils.convert_parameters
import time:        67 |         67 |                 torch.nn.utils.fusion
import time:        38 |         38 |                 torch.nn.utils.init
import time:        45 |         45 |                 torch.nn.utils.memory_format
import time:        79 |         79 |                 torch.nn.utils.spectral_norm
import time:        61 |         61 |                 torch.nn.utils.weight_norm
import time:       643 |       2072 |               torch.nn.utils
import time:        66 |       2138 |             torch.nn.utils.rnn
import time:       792 |       2930 |           torch.nn.modules.rnn
import time:       130 |        130 |           torch.nn.modules.sparse
import time:       164 |        164 |           torch.nn.modules.transformer
import time:        76 |         76 |           torch.nn.modules.upsampling
import time:      1379 |      71254 |         torch.nn.modules
import time:        49 |         49 |               torch.backends.cpu
import time:       177 |        177 |               torch.backends.cuda
import time:        80 |         80 |                 torch.backends.cudnn.rnn
import time:       167 |        246 |               torch.backends.cudnn
import time:        44 |         44 |               torch.backends.cusparselt
import time:        34 |         34 |               torch.backends.kleidiai
import time:        33 |         33 |               torch.backends.mha
import time:        50 |         50 |               torch.backends.miopen
import time:        39 |         39 |               torch.backends.mkl
import time:        74 |         74 |               torch.backends.mkldnn
import time:       327 |        327 |                 torch.library
import time:       113 |        440 |               torch.backends.mps
import time:        46 |         46 |               torch.backends.nnpack
import time:        36 |         36 |               torch.backends.openmp
import time:        27 |         27 |                 opt_einsum
import time:       129 |        155 |               torch.backends.opt_einsum
import time:        98 |         98 |               torch.backends.python_native
import time:        63 |         63 |               torch.backends.quantized
import time:      1023 |       2601 |             torch.backends
import time:        62 |       2662 |           torch.backends.cuda
import time:       108 |        108 |           torch.nn.attention._registry
import time:       292 |        292 |           torch.nn.attention._fa3
import time:       220 |        220 |           torch.nn.attention._fa4
import time:       322 |       3602 |         torch.nn.attention
import time:        50 |         50 |             torch.nn.parallel.parallel_apply
import time:        46 |         46 |                 torch.cuda.nccl
import time:       120 |        165 |               torch.nn.parallel.comm
import time:       160 |        325 |             torch.nn.parallel.replicate
import time:       156 |        156 |               torch.nn.parallel._functions
import time:       121 |        277 |             torch.nn.parallel.scatter_gather
import time:       279 |        929 |           torch.nn.parallel.data_parallel
import time:       152 |        152 |                 torch.distributed.algorithms.join
import time:       139 |        290 |               torch.distributed.algorithms
import time:        63 |        352 |             torch.distributed.algorithms.join
import time:       115 |        115 |             torch.distributed.utils
import time:      1063 |       1530 |           torch.nn.parallel.distributed
import time:       184 |       2642 |         torch.nn.parallel
import time:       316 |      77933 |       torch.nn
import time:        68 |      78000 |     torch.nn.functional
import time:        46 |         46 |       torch._linalg_utils
import time:       123 |        168 |     torch._lowrank
import time:      1251 |      79418 |   torch.functional
import time:        34 |         34 |   torch.__config__
import time:        40 |         40 |     torch.accelerator._utils
import time:        77 |         77 |     torch.accelerator.graphs
import time:        46 |         46 |     torch.accelerator.memory
import time:       265 |        427 |   torch.accelerator
import time:        56 |         56 |       torch.cpu.amp.autocast_mode
import time:        51 |         51 |       torch.cpu.amp.grad_scaler
import time:       159 |        265 |     torch.cpu.amp
import time:       146 |        410 |   torch.cpu
import time:       248 |        248 |       torch.distributions.constraints
import time:       132 |        132 |         torch.distributions.utils
import time:       188 |        320 |       torch.distributions.distribution
import time:       532 |       1099 |     torch.distributions.transforms
import time:        50 |         50 |       torch.distributions.exp_family
import time:       139 |        188 |     torch.distributions.bernoulli
import time:        89 |         89 |       torch.distributions.dirichlet
import time:       139 |        228 |     torch.distributions.beta
import time:       126 |        126 |     torch.distributions.binomial
import time:        74 |         74 |     torch.distributions.categorical
import time:        68 |         68 |     torch.distributions.cauchy
import time:        53 |         53 |       torch.distributions.gamma
import time:       104 |        157 |     torch.distributions.chi2
import time:        79 |         79 |     torch.distributions.constraint_registry
import time:        88 |         88 |     torch.distributions.continuous_bernoulli
import time:        53 |         53 |     torch.distributions.exponential
import time:        56 |         56 |     torch.distributions.fishersnedecor
import time:        92 |         92 |     torch.distributions.generalized_pareto
import time:        58 |         58 |     torch.distributions.geometric
import time:        68 |         68 |         torch.distributions.independent
import time:       124 |        192 |       torch.distributions.transformed_distribution
import time:        63 |         63 |       torch.distributions.uniform
import time:       172 |        426 |     torch.distributions.gumbel
import time:        54 |         54 |     torch.distributions.half_cauchy
import time:        61 |         61 |       torch.distributions.normal
import time:       111 |        171 |     torch.distributions.half_normal
import time:        46 |         46 |     torch.distributions.inverse_gamma
import time:        51 |         51 |       torch.distributions.laplace
import time:        91 |         91 |         torch.distributions.multivariate_normal
import time:       134 |        224 |       torch.distributions.lowrank_multivariate_normal
import time:        69 |         69 |       torch.distributions.one_hot_categorical
import time:        77 |         77 |       torch.distributions.pareto
import time:        51 |         51 |       torch.distributions.poisson
import time:       526 |        996 |     torch.distributions.kl
import time:        84 |         84 |     torch.distributions.kumaraswamy
import time:        56 |         56 |     torch.distributions.lkj_cholesky
import time:        45 |         45 |     torch.distributions.log_normal
import time:        51 |         51 |     torch.distributions.logistic_normal
import time:        69 |         69 |     torch.distributions.mixture_same_family
import time:        62 |         62 |     torch.distributions.multinomial
import time:        62 |         62 |     torch.distributions.negative_binomial
import time:        66 |         66 |     torch.distributions.relaxed_bernoulli
import time:        62 |         62 |     torch.distributions.relaxed_categorical
import time:        53 |         53 |     torch.distributions.studentT
import time:        75 |         75 |           torch.jit._builtins
import time:       584 |        659 |         torch.jit._async
import time:        42 |         42 |         torch.jit._await
import time:        35 |         35 |         torch.jit._decomposition_utils
import time:        74 |         74 |             torch._classes
import time:        61 |         61 |             torch.jit._fuser
import time:        24 |         24 |               monkeytype
import time:       129 |        153 |             torch.jit._monkeytype_config
import time:        47 |         47 |               torch.jit._check
import time:        83 |         83 |               torch.jit._state
import time:       139 |        139 |                 torch.jit.annotations
import time:        54 |         54 |                 torch.jit._dataclass_impls
import time:       374 |        566 |               torch.jit.frontend
import time:       392 |       1086 |             torch.jit._recursive
import time:        54 |         54 |             torch.jit._serialization
import time:       970 |       2395 |           torch.jit._script
import time:       100 |       2494 |         torch.jit._freeze
import time:        46 |         46 |         torch.jit._ir_utils
import time:       364 |        364 |         torch.jit._trace
import time:       431 |       4067 |       torch.jit
import time:       169 |       4236 |     torch.distributions.von_mises
import time:        62 |         62 |     torch.distributions.weibull
import time:       140 |        140 |     torch.distributions.wishart
import time:      1910 |      11002 |   torch.distributions
import time:       111 |        111 |   torch.fft
import time:        66 |         66 |       urllib.response
import time:       142 |        208 |     urllib.error
import time:       226 |        226 |         http
import time:       222 |        222 |           email.feedparser
import time:       118 |        340 |         email.parser
import time:       486 |       1050 |       http.client
import time:       610 |       1660 |     urllib.request
import time:        27 |         27 |     tqdm
import time:       370 |       2263 |   torch.hub
import time:       124 |        124 |   torch.linalg
import time:       108 |        108 |     torch.mps.profiler
import time:        43 |         43 |     torch.mps.event
import time:       193 |        343 |   torch.mps
import time:        30 |         30 |     torch._environment
import time:        47 |         47 |     torch.mtia._utils
import time:        43 |         43 |     torch.mtia.memory
import time:        57 |         57 |     torch.mtia.mtia_graph
import time:       378 |        553 |   torch.mtia
import time:       102 |        102 |       multiprocessing.util
import time:       116 |        116 |       multiprocessing.resource_sharer
import time:       238 |        455 |     torch.multiprocessing.reductions
import time:        90 |         90 |         _multiprocessing
import time:        22 |         22 |         _winapi
import time:       311 |        422 |       multiprocessing.connection
import time:        80 |         80 |       concurrent.futures.thread
import time:       217 |        718 |     torch.multiprocessing.spawn
import time:        68 |         68 |         runpy
import time:       115 |        182 |       multiprocessing.spawn
import time:        56 |         56 |       _posixshmem
import time:       184 |        421 |     multiprocessing.resource_tracker
import time:       261 |       1854 |   torch.multiprocessing
import time:        47 |         47 |       torch.nested._internal
import time:        29 |         29 |                 torch.fx._compatibility
import time:       154 |        183 |               torch.fx.immutable_collections
import time:        28 |         28 |                     torch.fx.experimental
import time:       385 |        385 |                     torch.fx.experimental._config
import time:        41 |         41 |                       torch.utils._dtype_abbrs
import time:       201 |        201 |                         torch.return_types
import time:       130 |        330 |                       torch.fx._pytree
import time:        33 |         33 |                           torch.utils._inspect
import time:       339 |        372 |                         torch.fx.operator_schemas
import time:      2953 |       3324 |                       torch.fx.node
import time:      1557 |       5252 |                     torch.fx.graph
import time:       441 |       6104 |                   torch.fx.graph_module
import time:       153 |       6257 |                 torch.fx._lazy_graph_module
import time:       690 |        690 |                   torch.fx.traceback
import time:       115 |        115 |                         pkgutil
import time:        50 |         50 |                         torch._logging.structured
import time:       604 |        604 |                           unittest.mock
import time:        90 |         90 |                           torch.utils._ordered_set
import time:        64 |         64 |                           torch.utils._traceback
import time:        99 |         99 |                           torch.utils.weak
import time:      2996 |       3852 |                         torch._guards
import time:       908 |       4925 |                       torch._logging._internal
import time:       143 |       5067 |                     torch._logging._registrations
import time:       106 |       5173 |                   torch._logging
import time:       513 |       6375 |                 torch.fx.proxy
import time:       648 |      13279 |               torch.fx._symbolic_trace
import time:        30 |         30 |                 torch.fx.config
import time:       405 |        434 |               torch.fx.interpreter
import time:       356 |        356 |               torch.fx.subgraph_rewriter
import time:       283 |      14533 |             torch.fx
import time:        64 |      14597 |           torch.fx.experimental
import time:       118 |      14714 |         torch.fx.experimental._constant_symnode
import time:       117 |      14831 |       torch.nested._internal.nested_int
import time:       357 |      15233 |     torch.nested._internal.nested_tensor
import time:       145 |      15377 |   torch.nested
import time:       260 |        260 |       torch.optim.optimizer
import time:       398 |        657 |     torch.optim.lr_scheduler
import time:       112 |        112 |     torch.optim.swa_utils
import time:       180 |        180 |     torch.optim._adafactor
import time:       133 |        133 |     torch.optim._muon
import time:       104 |        104 |     torch.optim.adadelta
import time:       582 |        582 |     torch.optim.adagrad
import time:       134 |        134 |     torch.optim.adam
import time:       135 |        135 |     torch.optim.adamax
import time:        53 |         53 |     torch.optim.adamw
import time:        94 |         94 |     torch.optim.asgd
import time:        78 |         78 |     torch.optim.lbfgs
import time:       101 |        101 |     torch.optim.nadam
import time:        95 |         95 |     torch.optim.radam
import time:       127 |        127 |     torch.optim.rmsprop
import time:        87 |         87 |     torch.optim.rprop
import time:        74 |         74 |     torch.optim.sgd
import time:        40 |         40 |       torch.optim._functional
import time:       118 |        158 |     torch.optim.sparse_adam
import time:      1057 |       3952 |   torch.optim
import time:       185 |        185 |       gzip
import time:      1048 |       1048 |         torch.profiler._utils
import time:      1254 |       2302 |       torch.profiler._memory_profiler
import time:       346 |       2832 |     torch.profiler.profiler
import time:        52 |         52 |     torch.profiler.itt
import time:       180 |       3063 |   torch.profiler
import time:       101 |        101 |   torch.special
import time:       100 |        100 |     torch.xpu._utils
import time:       133 |        133 |     torch.xpu.graphs
import time:        75 |         75 |     torch.xpu.streams
import time:       202 |        202 |     torch.xpu.memory
import time:        50 |         50 |     torch.xpu.random
import time:       438 |        996 |   torch.xpu
import time:       114 |        114 |       torch.signal.windows.windows
import time:       151 |        265 |     torch.signal.windows
import time:       148 |        412 |   torch.signal
import time:        51 |         51 |   torch.ao
import time:        49 |         49 |       torch.ao.nn
import time:       143 |        143 |         torch.ao.nn.intrinsic.modules.fused
import time:       119 |        262 |       torch.ao.nn.intrinsic.modules
import time:       187 |        496 |     torch.ao.nn.intrinsic
import time:        36 |         36 |       torch.nn.intrinsic.modules.fused
import time:       105 |        141 |     torch.nn.intrinsic.modules
import time:       122 |        122 |                     torch.ao.nn.qat.modules.conv
import time:        67 |         67 |                     torch.ao.nn.qat.modules.embedding_ops
import time:        50 |         50 |                     torch.ao.nn.qat.modules.linear
import time:       216 |        453 |                   torch.ao.nn.qat.modules
import time:        88 |        541 |                 torch.ao.nn.qat
import time:       338 |        879 |               torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:        62 |         62 |               torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:        57 |         57 |               torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       206 |       1202 |             torch.ao.nn.intrinsic.qat.modules
import time:        85 |       1287 |           torch.ao.nn.intrinsic.qat
import time:        93 |       1380 |         torch.nn.intrinsic.qat.modules.conv_fused
import time:        44 |         44 |         torch.nn.intrinsic.qat.modules.linear_fused
import time:        37 |         37 |         torch.nn.intrinsic.qat.modules.linear_relu
import time:       221 |       1681 |       torch.nn.intrinsic.qat.modules
import time:        93 |       1773 |     torch.nn.intrinsic.qat
import time:        95 |         95 |                                 torch.ao.nn.quantizable.modules.activation
import time:       134 |        134 |                                 torch.ao.nn.quantizable.modules.rnn
import time:       164 |        391 |                               torch.ao.nn.quantizable.modules
import time:        84 |        475 |                             torch.ao.nn.quantizable
import time:       161 |        161 |                             torch.ao.nn.quantized.modules.activation
import time:        76 |         76 |                             torch.ao.nn.quantized.modules.batchnorm
import time:        62 |         62 |                               torch.ao.nn.quantized.modules.utils
import time:       294 |        356 |                             torch.ao.nn.quantized.modules.conv
import time:        43 |         43 |                             torch.ao.nn.quantized.modules.dropout
import time:       135 |        135 |                             torch.ao.nn.quantized.modules.embedding_ops
import time:        89 |         89 |                             torch.ao.nn.quantized.modules.functional_modules
import time:        84 |         84 |                             torch.ao.nn.quantized.modules.linear
import time:        80 |         80 |                             torch.ao.nn.quantized.modules.normalization
import time:        40 |         40 |                             torch.ao.nn.quantized.modules.rnn
import time:       699 |       2233 |                           torch.ao.nn.quantized.modules
import time:        63 |       2295 |                         torch.ao.nn.quantized.modules.utils
import time:       136 |       2431 |                       torch.ao.nn.quantized.functional
import time:       101 |       2531 |                     torch.ao.nn.quantized
import time:       124 |       2654 |                   torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:        88 |         88 |                   torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:        74 |         74 |                   torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       114 |        114 |                   torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       268 |       3197 |                 torch.ao.nn.intrinsic.quantized.modules
import time:       137 |       3333 |               torch.ao.nn.intrinsic.quantized
import time:       134 |        134 |                       torch.ao.nn.quantized.dynamic.modules.conv
import time:        81 |         81 |                       torch.ao.nn.quantized.dynamic.modules.linear
import time:       274 |        274 |                       torch.ao.nn.quantized.dynamic.modules.rnn
import time:       235 |        722 |                     torch.ao.nn.quantized.dynamic.modules
import time:        87 |        808 |                   torch.ao.nn.quantized.dynamic
import time:       134 |        942 |                 torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       101 |       1042 |               torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       147 |       4520 |             torch.ao.nn.intrinsic.quantized.dynamic
import time:        88 |       4608 |           torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:        90 |       4697 |         torch.nn.intrinsic.quantized.dynamic.modules
import time:        93 |       4789 |       torch.nn.intrinsic.quantized.dynamic
import time:        38 |         38 |         torch.nn.intrinsic.quantized.modules.bn_relu
import time:        38 |         38 |         torch.nn.intrinsic.quantized.modules.conv_relu
import time:        37 |         37 |         torch.nn.intrinsic.quantized.modules.linear_relu
import time:       214 |        326 |       torch.nn.intrinsic.quantized.modules
import time:       157 |       5271 |     torch.nn.intrinsic.quantized
import time:       279 |       7958 |   torch.nn.intrinsic
import time:        64 |         64 |                   torch.ao.nn.qat.dynamic.modules.linear
import time:        94 |        158 |                 torch.ao.nn.qat.dynamic.modules
import time:        86 |        243 |               torch.ao.nn.qat.dynamic
import time:        61 |        304 |             torch.ao.nn.qat.dynamic.modules
import time:        61 |        364 |           torch.ao.nn.qat.dynamic.modules.linear
import time:        93 |        457 |         torch.nn.qat.dynamic.modules.linear
import time:        89 |        545 |       torch.nn.qat.dynamic.modules
import time:        92 |        637 |     torch.nn.qat.dynamic
import time:        32 |         32 |       torch.nn.qat.modules.conv
import time:        31 |         31 |       torch.nn.qat.modules.embedding_ops
import time:        29 |         29 |       torch.nn.qat.modules.linear
import time:       233 |        323 |     torch.nn.qat.modules
import time:       159 |       1118 |   torch.nn.qat
import time:        50 |         50 |     torch.nn.quantizable.modules
import time:       112 |        162 |   torch.nn.quantizable
import time:        42 |         42 |     torch.nn.quantized.dynamic
import time:        43 |         43 |     torch.nn.quantized.functional
import time:        45 |         45 |     torch.nn.quantized.modules
import time:       243 |        372 |   torch.nn.quantized
import time:        37 |         37 |   torch._size_docs
import time:        34 |         34 |   torch._storage_docs
import time:       333 |        333 |   torch._tensor_docs
import time:        88 |         88 |                 torch.ao.quantization.quant_type
import time:       261 |        348 |               torch.ao.quantization.utils
import time:      1336 |       1684 |             torch.ao.quantization.observer
import time:       212 |       1895 |           torch.ao.quantization.fake_quantize
import time:        63 |         63 |             torch.ao.quantization.fuser_method_mappings
import time:       118 |        180 |           torch.ao.quantization.fuse_modules
import time:       199 |        199 |           torch.ao.quantization.qconfig
import time:       133 |        133 |           torch.ao.quantization.qconfig_mapping
import time:        61 |         61 |                   torch.ao.nn.quantized.reference.modules.utils
import time:       204 |        264 |                 torch.ao.nn.quantized.reference.modules.conv
import time:        66 |         66 |                 torch.ao.nn.quantized.reference.modules.linear
import time:       534 |        534 |                 torch.ao.nn.quantized.reference.modules.rnn
import time:        60 |         60 |                 torch.ao.nn.quantized.reference.modules.sparse
import time:       300 |       1223 |               torch.ao.nn.quantized.reference.modules
import time:        96 |       1318 |             torch.ao.nn.quantized.reference
import time:        63 |         63 |                     torch.ao.nn.sparse.quantized.linear
import time:        50 |         50 |                     torch.ao.nn.sparse.quantized.utils
import time:       190 |        302 |                   torch.ao.nn.sparse.quantized.dynamic.linear
import time:        95 |        396 |                 torch.ao.nn.sparse.quantized.dynamic
import time:       101 |        497 |               torch.ao.nn.sparse.quantized
import time:        87 |        583 |             torch.ao.nn.sparse
import time:        51 |         51 |             torch.ao.quantization.stubs
import time:       397 |       2348 |           torch.ao.quantization.quantization_mappings
import time:       127 |        127 |           torch.ao.quantization.quantize
import time:       115 |        115 |           torch.ao.quantization.quantize_jit
import time:       506 |       5500 |         torch.ao.quantization
import time:        66 |       5566 |       torch.ao.quantization.fake_quantize
import time:       104 |       5669 |     torch.quantization.fake_quantize
import time:        36 |         36 |     torch.quantization.fuse_modules
import time:        38 |         38 |     torch.quantization.fuser_method_mappings
import time:        47 |         47 |     torch.quantization.observer
import time:        34 |         34 |     torch.quantization.qconfig
import time:        28 |         28 |     torch.quantization.quant_type
import time:        32 |         32 |     torch.quantization.quantization_mappings
import time:        38 |         38 |     torch.quantization.quantize
import time:        31 |         31 |     torch.quantization.quantize_jit
import time:        29 |         29 |     torch.quantization.stubs
import time:       679 |       6657 |   torch.quantization
import time:        64 |         64 |   torch.quasirandom
import time:        47 |         47 |   torch.multiprocessing._atfork
import time:       196 |        196 |   torch._lobpcg
import time:        48 |         48 |       torch.masked._docs
import time:       122 |        122 |             torch.masked.maskedtensor.core
import time:      1192 |       1314 |           torch.masked.maskedtensor.binary
import time:       348 |        348 |           torch.masked.maskedtensor.passthrough
import time:        35 |         35 |             torch.masked.maskedtensor.creation
import time:       471 |        505 |           torch.masked.maskedtensor.reductions
import time:      1261 |       1261 |           torch.masked.maskedtensor.unary
import time:       309 |       3735 |         torch.masked.maskedtensor
import time:        64 |       3798 |       torch.masked.maskedtensor.core
import time:       358 |       4203 |     torch.masked._ops
import time:       136 |       4339 |   torch.masked
import time:       202 |        202 |   torch.utils.dlpack
import time:        42 |         42 |                 torch._dispatch
import time:       210 |        252 |               torch._dispatch.python
import time:       623 |        623 |                     torch._library.fake_profile
import time:        35 |         35 |                       torch.utils._mode_utils
import time:      2493 |       2528 |                     torch._subclasses.meta_utils
import time:        47 |         47 |                     torch.utils._stats
import time:       632 |        632 |                       torch.fx.experimental.sym_node
import time:       980 |       1612 |                     torch._subclasses._fake_tensor_utils
import time:        41 |         41 |                       torch._custom_op
import time:      1744 |       1784 |                     torch._subclasses.fake_impls
import time:      3469 |      10060 |                   torch._subclasses.fake_tensor
import time:       100 |        100 |                   torch._subclasses.fake_utils
import time:       168 |      10327 |                 torch._subclasses
import time:        71 |      10397 |               torch._subclasses.meta_utils
import time:       306 |      10955 |             torch.fx.passes.shape_prop
import time:        32 |         32 |             pydot
import time:       270 |      11256 |           torch.fx.passes.graph_drawer
import time:       117 |        117 |           torch.fx.passes.graph_manipulation
import time:       358 |        358 |                   torch.fx.passes.utils.matcher_utils
import time:       140 |        498 |                 torch.fx.passes.utils.common
import time:        95 |        593 |               torch.fx.passes.utils
import time:       276 |        276 |               torch.fx.passes.tools_common
import time:       458 |       1326 |             torch.fx.passes.split_utils
import time:       337 |       1663 |           torch.fx.passes.net_min_base
import time:       158 |        158 |           torch.fx.passes.operator_support
import time:        69 |         69 |           torch.fx.passes.param_fetch
import time:       110 |        110 |           torch.fx.passes.regional_inductor
import time:       302 |        302 |           torch.fx.passes.reinplace
import time:       101 |        101 |             torch.fx._utils
import time:       407 |        407 |               torch._subclasses.functional_tensor
import time:        78 |         78 |               torch.utils._thunk
import time:        42 |         42 |               torch.fx.experimental._backward_state
import time:      1029 |       1554 |             torch.fx.experimental.proxy_tensor
import time:       269 |       1922 |           torch.fx.passes.runtime_assert
import time:       166 |        166 |           torch.fx.passes.split_module
import time:       455 |        455 |           torch.fx.passes.splitter_base
import time:       715 |      16927 |         torch.fx.passes
import time:       159 |        159 |           torch.fx.passes.infra.pass_base
import time:       223 |        381 |         torch.fx.passes.infra.pass_manager
import time:       190 |      17497 |       torch.fx.passes.infra
import time:        73 |      17570 |     torch.fx.passes.infra.pass_base
import time:       174 |        174 |     torch.export.custom_ops
import time:        63 |         63 |     torch.export._state_dict_utils
import time:        42 |         42 |           torch.export._tree_utils
import time:      1333 |       1333 |           torch.export.graph_signature
import time:        77 |         77 |                 torch._custom_op.autograd
import time:       431 |        507 |               torch._custom_op.impl
import time:       118 |        624 |             torch._custom_ops
import time:       239 |        239 |             torch._export.utils
import time:       390 |        390 |                         torch._higher_order_ops.schema
import time:       757 |       1146 |                       torch._higher_order_ops.utils
import time:       809 |       1955 |                     torch._higher_order_ops.auto_functionalize
import time:       159 |       2114 |                   torch._higher_order_ops.base_hop
import time:       384 |       2498 |                 torch._higher_order_ops._invoke_quant
import time:        97 |         97 |                 torch._higher_order_ops.aoti_call_delegate
import time:       256 |        256 |                 torch._higher_order_ops.associative_scan
import time:       193 |        193 |                 torch._higher_order_ops.cond
import time:       440 |        440 |                   torch._higher_order_ops.invoke_leaf_function
import time:       103 |        103 |                   torch._higher_order_ops.print
import time:        33 |         33 |                       torch._functorch._aot_autograd
import time:       275 |        308 |                     torch._functorch._aot_autograd.utils
import time:       177 |        484 |                   torch._higher_order_ops.torchbind
import time:       435 |       1461 |                 torch._higher_order_ops.effects
import time:        97 |         97 |                 torch._higher_order_ops.executorch_call_delegate
import time:       373 |        373 |                 torch._higher_order_ops.flat_apply
import time:        30 |         30 |                       torch.testing._internal
import time:       221 |        250 |                     torch.testing._internal.logging_tensor
import time:       434 |        683 |                   torch.utils.checkpoint
import time:       315 |        998 |                 torch._higher_order_ops.flex_attention
import time:       118 |        118 |                 torch._higher_order_ops.foreach_map
import time:        94 |         94 |                 torch._higher_order_ops.hints_wrap
import time:       168 |        168 |                 torch._higher_order_ops.inline_asm_elementwise
import time:        76 |         76 |                       torch.utils._debug_mode._utils
import time:       222 |        298 |                     torch.utils._debug_mode._calls
import time:     13200 |      13200 |                     torch.utils._debug_mode._mode
import time:       159 |      13656 |                   torch.utils._debug_mode
import time:       615 |      14271 |                 torch._higher_order_ops.invoke_subgraph
import time:       185 |        185 |                 torch._higher_order_ops.local_map
import time:       143 |        143 |                 torch._higher_order_ops.map
import time:       235 |        235 |                 torch._higher_order_ops.out_dtype
import time:        80 |         80 |                 torch._higher_order_ops.run_const_graph
import time:        95 |         95 |                   torch._higher_order_ops.partitioner
import time:       356 |        450 |                 torch._higher_order_ops.scan
import time:        87 |         87 |                 torch._higher_order_ops.strict_mode
import time:       194 |        194 |                 torch._higher_order_ops.while_loop
import time:       241 |        241 |                 torch._higher_order_ops.wrap
import time:      1270 |      23498 |               torch._higher_order_ops
import time:        74 |      23572 |             torch._higher_order_ops.flat_apply
import time:       331 |      24764 |           torch._export.wrappers
import time:       160 |        160 |           torch._export.config
import time:       457 |      26754 |         torch._export
import time:        68 |      26821 |       torch._export.utils
import time:       256 |      27076 |     torch.export.decomp_utils
import time:       133 |        133 |         torch._export.verifier
import time:       681 |        814 |       torch.export.exported_program
import time:      1101 |       1915 |     torch.export.dynamic_shapes
import time:        52 |         52 |       torch.export._remove_effect_tokens_pass
import time:      1211 |       1263 |     torch.export.unflatten
import time:       502 |      48559 |   torch.export
import time:        39 |         39 |     torch._functorch.batch_norm_replacement
import time:        74 |         74 |       torch.fx.experimental.const_fold
import time:       297 |        370 |     torch._functorch.eager_transforms
import time:        69 |         69 |     torch._functorch.functional_call
import time:       221 |        698 |   torch.func
import time:       169 |        169 |   torch.distributed._meta_registrations
import time:        87 |         87 |             torch.utils._content_store
import time:       126 |        213 |           torch._prims.debug_prims
import time:       312 |        312 |           torch._prims.rng_prims
import time:       146 |        146 |           torch._prims_common.wrappers
import time:     47745 |      48415 |         torch._prims
import time:      9974 |      58388 |       torch._decomp.decompositions
import time:        85 |         85 |         torch.testing._internal.common_dtype
import time:       230 |        230 |         torch._refs._conversions
import time:      1179 |       1179 |         torch._refs.fft
import time:       446 |        446 |         torch._refs.linalg
import time:        37 |         37 |           torch._refs.nn
import time:      1682 |       1718 |         torch._refs.nn.functional
import time:      1085 |       1085 |         torch._refs.special
import time:     12536 |      17276 |       torch._refs
import time:       287 |      75949 |     torch._decomp
import time:     26697 |     102646 |   torch._meta_registrations
import time:       439 |        439 |     torch.compiler.config
import time:       214 |        214 |       torch.utils._appending_byte_serializer
import time:       575 |        789 |     torch.compiler._cache
import time:       334 |       1560 |   torch.compiler
import time:        41 |         41 |       torch._native.common_utils
import time:       414 |        414 |         torch._native.registry
import time:       207 |        621 |       torch._native.dsl_registry
import time:       246 |        906 |     torch._native.cutedsl_utils
import time:        43 |         43 |     torch._native.ops
import time:        59 |         59 |     torch._native.triton_utils
import time:       258 |       1265 |   torch._native
import time:     10830 |     493611 | torch
