import time: self [us] | cumulative | imported package
import time:      1076 |      12237 |           numpy._core
import time:        76 |      12312 |         numpy._core._multiarray_umath
import time:       192 |      12504 |       numpy.__config__
import time:        79 |         79 |                         numpy._typing._nbit_base
import time:        81 |         81 |                         numpy._typing._nested_sequence
import time:        33 |         33 |                         numpy._typing._shape
import time:       857 |       1049 |                       numpy._typing._array_like
import time:       774 |        774 |                       numpy._typing._char_codes
import time:       759 |        759 |                       numpy._typing._dtype_like
import time:        38 |         38 |                       numpy._typing._nbit
import time:        35 |         35 |                       numpy._typing._scalars
import time:        29 |         29 |                       numpy._typing._ufunc
import time:       479 |       3160 |                     numpy._typing
import time:        69 |         69 |                       numpy.lib._stride_tricks_impl
import time:       183 |        252 |                     numpy.lib._twodim_base_impl
import time:        28 |         28 |                       numpy.lib._array_utils_impl
import time:        98 |        126 |                     numpy.lib.array_utils
import time:       112 |        112 |                     numpy.linalg._umath_linalg
import time:       781 |       4428 |                   numpy.linalg._linalg
import time:       109 |       4536 |                 numpy.linalg
import time:       204 |       4739 |               numpy.matrixlib.defmatrix
import time:       109 |       4848 |             numpy.matrixlib
import time:        89 |         89 |               numpy.lib._histograms_impl
import time:       455 |        544 |             numpy.lib._function_base_impl
import time:       268 |       5659 |           numpy.lib._index_tricks_impl
import time:       169 |       5827 |         numpy.lib._arraypad_impl
import time:       226 |        226 |         numpy.lib._arraysetops_impl
import time:        57 |         57 |         numpy.lib._arrayterator_impl
import time:       172 |        172 |         numpy.lib._nanfunctions_impl
import time:        72 |         72 |               numpy.lib._utils_impl
import time:       182 |        254 |             numpy.lib._format_impl
import time:       101 |        354 |           numpy.lib.format
import time:        78 |         78 |           numpy.lib._datasource
import time:       126 |        126 |           numpy.lib._iotools
import time:       444 |       1001 |         numpy.lib._npyio_impl
import time:        57 |         57 |             numpy.lib._ufunclike_impl
import time:       146 |        203 |           numpy.lib._type_check_impl
import time:       244 |        447 |         numpy.lib._polynomial_impl
import time:       126 |        126 |         numpy.lib._shape_base_impl
import time:        47 |         47 |         numpy.lib._version
import time:        30 |         30 |         numpy.lib.introspect
import time:        92 |         92 |         numpy.lib.mixins
import time:        27 |         27 |         numpy.lib.npyio
import time:        74 |         74 |           numpy.lib._scimath_impl
import time:        97 |        171 |         numpy.lib.scimath
import time:        28 |         28 |         numpy.lib.stride_tricks
import time:       974 |       9218 |       numpy.lib
import time:        50 |         50 |       numpy._array_api_info
import time:      1044 |      23545 |     numpy
import time:       101 |        101 |     torch._opaque_base
import time:     83916 |     107560 |   torch._C
import time:        37 |         37 |           concurrent
import time:       249 |        249 |           concurrent.futures._base
import time:       196 |        482 |         concurrent.futures
import time:        17 |         17 |           _heapq
import time:       138 |        154 |         heapq
import time:       656 |        656 |           _ssl
import time:        59 |         59 |             binascii
import time:       167 |        226 |           base64
import time:      1126 |       2007 |         ssl
import time:        86 |         86 |         asyncio.constants
import time:        41 |         41 |         asyncio.coroutines
import time:        37 |         37 |           asyncio.format_helpers
import time:        38 |         38 |             asyncio.base_futures
import time:        67 |         67 |             asyncio.exceptions
import time:        40 |         40 |             asyncio.base_tasks
import time:       333 |        476 |           _asyncio
import time:       304 |        817 |         asyncio.events
import time:        80 |         80 |         asyncio.futures
import time:        58 |         58 |         asyncio.protocols
import time:        83 |         83 |           asyncio.transports
import time:        29 |         29 |           asyncio.log
import time:       689 |        799 |         asyncio.sslproto
import time:        32 |         32 |             asyncio.mixins
import time:       212 |        244 |           asyncio.locks
import time:       134 |        134 |             asyncio.timeouts
import time:       213 |        347 |           asyncio.tasks
import time:       233 |        822 |         asyncio.staggered
import time:        48 |         48 |         asyncio.trsock
import time:      1128 |       6516 |       asyncio.base_events
import time:        94 |         94 |       asyncio.runners
import time:        84 |         84 |       asyncio.queues
import time:       122 |        122 |       asyncio.streams
import time:        83 |         83 |       asyncio.subprocess
import time:        50 |         50 |       asyncio.taskgroups
import time:        30 |         30 |       asyncio.threads
import time:        77 |         77 |         asyncio.base_subprocess
import time:       209 |        209 |         asyncio.selector_events
import time:       426 |        712 |       asyncio.unix_events
import time:       615 |       8302 |     asyncio
import time:        71 |       8373 |   asyncio.coroutines
import time:        62 |         62 |     copy
import time:        45 |         45 |     torch._namedtensor_internals
import time:        45 |         45 |       __future__
import time:       609 |        654 |     torch.overrides
import time:       558 |       1317 |   torch._tensor
import time:        90 |         90 |     torch.types
import time:       343 |        432 |   torch.storage
import time:        94 |         94 |     torch.amp.autocast_mode
import time:       130 |        130 |     torch.amp.grad_scaler
import time:       174 |        396 |   torch.amp
import time:        52 |         52 |   torch.random
import time:       275 |        275 |     difflib
import time:        18 |         18 |       pwd
import time:        17 |         17 |       grp
import time:       580 |        613 |     tarfile
import time:       101 |        101 |     torch._weights_only_unpickler
import time:       121 |        121 |     torch._sources
import time:        64 |         64 |     mmap
import time:       747 |       1918 |   torch.serialization
import time:       215 |        215 |     dataclasses
import time:       411 |        625 |   torch._tensor_str
import time:        64 |         64 |     torch.cuda._device_limits
import time:        49 |         49 |     torch.cuda.gds
import time:        37 |         37 |         cuda
import time:        44 |         44 |           cuda.bindings.utils._nvvm_utils
import time:       134 |        134 |           cuda.bindings.utils._ptx_utils
import time:        35 |         35 |           cuda.bindings.utils._version_check
import time:       273 |        484 |         cuda.bindings.utils
import time:        33 |         33 |         cuda.bindings._version
import time:       247 |        799 |       cuda.bindings
import time:        40 |         40 |               cuda.bindings._bindings
import time:       448 |        488 |             cuda.bindings._bindings.cydriver
import time:       481 |        968 |           cuda.bindings.cydriver
import time:        35 |         35 |             cuda.bindings._internal
import time:       175 |        209 |           cuda.bindings._internal._fast_enum
import time:      4158 |       5334 |         cuda.bindings.driver
import time:       148 |        148 |             cuda.bindings._bindings.cyruntime_ptds
import time:       337 |        484 |           cuda.bindings._bindings.cyruntime
import time:        37 |         37 |               cuda.pathfinder._binaries
import time:        38 |         38 |               cuda.pathfinder._binaries.supported_nvidia_binaries
import time:        28 |         28 |                 cuda.pathfinder._utils
import time:       123 |        150 |               cuda.pathfinder._utils.env_vars
import time:        46 |         46 |               cuda.pathfinder._utils.find_sub_dirs
import time:        29 |         29 |               cuda.pathfinder._utils.platform_aware
import time:       391 |        687 |             cuda.pathfinder._binaries.find_nvidia_binary_utility
import time:        22 |         22 |               cuda.pathfinder._dynamic_libs
import time:       385 |        407 |             cuda.pathfinder._dynamic_libs.load_dl_common
import time:       580 |        580 |                 cuda.pathfinder._dynamic_libs.descriptor_catalog
import time:        97 |        676 |               cuda.pathfinder._dynamic_libs.lib_descriptor
import time:        66 |         66 |                   ctypes.util
import time:      3569 |       3634 |                 cuda.pathfinder._dynamic_libs.load_dl_linux
import time:       139 |       3773 |               cuda.pathfinder._dynamic_libs.platform_loader
import time:        69 |         69 |                   cuda.pathfinder._dynamic_libs.supported_nvidia_libs
import time:       547 |        616 |                 cuda.pathfinder._dynamic_libs.search_platform
import time:       364 |        979 |               cuda.pathfinder._dynamic_libs.search_steps
import time:        35 |         35 |                     urllib
import time:       477 |        477 |                     ipaddress
import time:       520 |       1031 |                   urllib.parse
import time:        24 |         24 |                     _winapi
import time:        20 |         20 |                     nt
import time:        22 |         22 |                     nt
import time:        17 |         17 |                     nt
import time:        17 |         17 |                     nt
import time:        17 |         17 |                     nt
import time:        17 |         17 |                     nt
import time:       531 |        662 |                   ntpath
import time:       408 |       2100 |                 pathlib
import time:       401 |       2500 |               cuda.pathfinder._dynamic_libs.subprocess_protocol
import time:       347 |       8272 |             cuda.pathfinder._dynamic_libs.load_nvidia_dynamic_lib
import time:        26 |         26 |               cuda.pathfinder._headers
import time:       561 |        561 |                 cuda.pathfinder._headers.header_descriptor_catalog
import time:       105 |        665 |               cuda.pathfinder._headers.header_descriptor
import time:       319 |       1009 |             cuda.pathfinder._headers.find_nvidia_headers
import time:        52 |         52 |             cuda.pathfinder._headers.supported_nvidia_headers
import time:        24 |         24 |               cuda.pathfinder._static_libs
import time:       375 |        398 |             cuda.pathfinder._static_libs.find_bitcode_lib
import time:       277 |        277 |             cuda.pathfinder._static_libs.find_static_lib
import time:        34 |         34 |             cuda.pathfinder._version
